Tópico de Búsqueda,Video ID,Title,Published At,Duration (min),Views,Likes,Comments,Tags,Description,Channel Title,
UPY,rprd3C01mMc,Video Profil Upy 2020,2020-05-29,3.6,2078,49,0,"universitas, kampus, pgri, mahasiswa baru, kuliah",Video Profil Universitas PGRI Yogyakarta,Pmb Upy,
UPY,Dv4eUlmKV8c,#Iftp | Kick Off At The Upy,2019-02-15,29.02,813,10,0,"upy, yucatan, politecnica, embebidos, bigdatata, robotica, bis, admision, tamu, iftp, invent, planet, universidad",Get into the experience of the Invent for the Planet 2019 edition at the Universidad Politécnica de Yucatán. Follow the best moments by live shows and recaps breakdowns.,UpyucatáN,
UPY,1CFq0MEqDAE,Profil Upy Versi1.1,2017-07-16,2.27,2402,41,0,,,Upytv,
UPY,9s9XpxUDfKY,Rektor Upy Menyanyi Di Wisuda Sarjana Dan Pascasarjana Periode Ii Tahun Akademik 2018/2019,2019-01-28,9.17,4328,148,14,"wisuda, universitas, pgri, yogyakarta","Dr. Ir. Paiman, M.P menyanyi di acara wisuda sarjana dan pasca sarjana Universitas PGRI Yogyakarta banyak mahasiswa yang menangis",Upytv,
UPY,mFj58Srx-00,Visita A La Upy,2016-12-07,0.6,535,13,0,"universidad, politécnica, yucatán, upy, tic, robótica, datos, sistemas embebidos, computación, gobierno, rolando, zapata, bello, siies, data science, big data, robotics, ai",Visita del Gobernador Constitucional del Estado de Yucatán a la Universidad Politécnica de Yucatán para entablar un diálogo abierto con los alumnos,UpyucatáN,
UPY,7bekHriXDEo,Upy Experience 2018,2018-03-23,2.25,1271,27,1,"#upyexperience18, upy",Revive los mejores momentos de #UPY#UPYExperience18. ¿Qué nos espera el siguiente año? ¡Espéralo!,UpyucatáN,
UPY,3W3LRfgf7y4,Come Comprare Gli Upy Su Pancakeswap,2025-01-20,3.58,894,18,1,,UPY token address: 0xB849C4d843769d42812fb600B1Bcc8a6ba843466 SEGUICI SUI SOCIALS https://x.com/UpsmartyToken https://www.instagram.com/upsmarty_token/ https://www.tiktok.com/@upsmartytoken https://t.me/upsmartytoken #Upsmarty #CryptoCommunity #UpsmartyLaunch #UpsmartyToken #CryptoRivoluzione #Crypto #Wallet #PancakeSwap,Upsmarty Token,
UPY,2CQbRsYyyrA,Avances De La ConstruccióN De La Upy,2016-10-14,1.3,348,6,0,"upy, universidad, politécnica, yucatán, siies, rolando zapata, idefey, tic, robótica, embebidos, big data, iot, akw, ingeniería, educación superior, ies","Conoce los avances en la construcción de la Universidad Politécnica de Yucatán, Institución de vanguardia que contribuirá al impulso de la industria de las Tecnologías de la Información y Comunicación en la región.",UpyucatáN,
UPY,r27tuw-UIfw,Ucapan Hari Raya Idul Fitri 1446h / 2025 - Pmb Upy,2025-04-16,0.92,30,2,0,,Unit Penerimaan Mahasiswa Baru UPY mengucapkan... Selamat Hari Raya Idul Fitri 1446H  Minal Aidin wal Faidzin Mohon Maaf Lahir dan Batin  Follow Media Sosial PMB UPY: Instagram: pmbupy Tiktok: pmbupy_official Facebook: PMB UPY YouTube: PMB UPY Official #hariraya #idulfitri #lebaran #1446h #mohonmaaflahirbatin #syawal #pmbupy #2025,Pmb Upy,
UPY,Vgc9xv6_Y2A,Upy Abre La Carrera De IngenieríA En Ciberseguridad | Tele YucatáN,2022-03-18,2.03,514,14,1,"tele yucatan, tele yucatan te informa, noticias yucatan hoy, yucatan, noticias yucatan, noticias yucatan de hoy, teleyucatan, tele yucatan noticias de hoy, tele yucatán noticias, noticiero tele yucatan, tele yucatán, canal 13 yucatan, carrera ciberseguridad, carrera ciberseguridad upy, uso ciberseguridad carrera, carrera ciberseguridad gratis",UPY abre la carrera de ingeniería en Ciberseguridad  Las #Noticias más importantes de #Yucatán. 𝗗𝗮𝗹𝗲 𝗠𝗘 𝗚𝗨𝗦𝗧𝗔 𝗲𝗻 𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: http://bit.ly/2SGgY94 Síguenos en Instagram: http://bit.ly/38IGz74 Síguenos en Twitter: http://bit.ly/2Paf2Up Síguenos en TikTok: https://bit.ly/3ncbD93,Tele YucatáN,
UPY,0QjyWCBZL0Q,[Amazing Voice Upy] Lagu Batak: Sigulempong By Group Padus Amivo Upy,2017-02-16,3.78,2313,50,4,"amivo, amazing voice, upy, universitas pgri yogyakarta, sigulempong, lagu batak, yogyakarta, campus, paduan suara, koor",Lagu Batak: SIGULEMPONG yang dinyanyikan oleh Group Paduan Suara Amazing Voice Universitas PGRI Yogyakarta,Upy Publication,
UPY,QLl6EFILK0Q,Video Promosi Upy 2018,2018-08-02,2.13,6012,84,0,,Video Promosi Universitas PGRI Yogyakarta 2018,Echonic Production,
UPY,dsI1DFTYcWs,Untuk Semua Alumni Universitas Pgri Yogyakarta - Mubes Alumni Upy,2021-12-02,1.72,394,16,0,"upy, upy jogja, kkn, kuliah kerja nyata, universitas pgri yogyakarta, mahasiswa, kegiatan, upy official, sansed, sansed upy","Halo semua alumni Universitas PGRI Yogyakarta dimanapun kalian berada, Salam sehat dan sejahtera untuk kita semua. Kami mengharapkan partisipasinya dalam rangka MUBES #1 KELUARGA ALUMNI UPY. Pelaksanaan: 6 Desember 2021 - 11 Februari 2022 - Pembukaan MUBES : Senin 6 Desember 2021 10.00-12.00 WIB secara virtual melalui ZOOM dan Live Youtube pada kanal youtube upyTV * Untuk Zona Waktu yang lain menyesuaikan Kami Sangat Mengharapkan dukungan dan partisipasi dari Seluruh Alumni UPY dengan mengikuti ...",Upytv,
UPY,IHQEfIiMa2A,Memilih Setia - Amivo Upy,2015-05-11,4.8,641,12,0,"universitas pgri, universitas padjadjaran (college/university), universitas sanata dharma (college/university), universitas islam indonesia (college/university), universitas negeri yogyakarta (college/university), universitas gadjah mada, x factor",Memilih Setia Singers by AMIVO student PGRI University of Yogyakarta,Akendent Picture,
UPY,CcX_PdxCwy0,Malam Puncak Upinfest 2022 - Resiliensi Untuk Upy Apik Dan Unggul,2022-05-26,293.4,3240,121,0,"upy jogja, universitas pgri yogyakarta, mahasiswa, kegiatan, upy official, diesnatalisupy, pgri, semnas, sansed, santau sedjenak, ukm, kemahasiswaan, bem, bem km upy, podcast, upyjogja, upyofficial, kampus merdeka, kampus jogja, alumni, keluarga alumni, museorium, museum upy, wisuda, drive thru, informatika, marketing, digital",Malam Puncak UPINFEST 2022 - Resiliensi Untuk UPY Apik dan Unggul dengan diadakannya acara ini semoga UPY semakin manju dan berkembang,Upytv,
UPY,yJvXrWsA2wg,शनिवार को जरूर करे ये #Pujyapanditpradeepmishra #Upy#Trendingshorts #Youtubeshorts,2025-03-29,0.22,692,70,2,,,Sonam Ki Duniyaa,
UPY,jTxTv5DrSx0,Film Pendek Pkkmb Upy 2019,2019-08-31,13.52,2092,175,14,,,Pkkmb Upy 2024,
UPY,-tCfmFbsQUs,Destituyen Al Rector De La Upy Por Presuntos Acoso Laboral,2024-07-20,3.03,72,1,0,,Destituyen al rector de la UPY por presuntos acoso laboral,Novedades YucatáN,
UPY,YwJguiRmPdw,"Mengejutkan !!!, Bapak Rektor Upy Tiba-Tiba Menari Padahal Masih Pakai Toga Lengkap.",2020-01-06,4.62,33216,367,28,"upy, upy apik, universitas pgri yogyakarta, kampus jogja, jogja, pgri, entrepreneur, beksan wanara, flashmob, tari tradisional",Penampilan para penari dadakan dalam flashmob tari beksan wanara di Upacara Senat Universitas PGRI Yogyakarta dalam rangka Dies Natalis UPY ke-57 tahun. Tari Beksan Wanara dibawakan oleh para karyawan UPY dan tiba-tiba Rektor UPY ikutan menari. Jangan lupa follow social media kami: Instagram : https://www.instagram.com/upyofficial/ Youtube : https://www.youtube.com/upyTV-media Website : www.upy.ac.id,Upytv,
UPY,M1FcT4KDEWs,Gowes Bareng Pak Rektor Upy Lagi Nih Kedua - Bendungan Kamijoro,2021-10-04,16.75,1373,36,9,#vlogfila #gowes #rektorupy,"Selamat siang guys… Kali ini UPY Bersepeda gobar lagi nih dengan Pak Rektor juga. Awalnya tujuannya mau ke Geblek Pari, setelah berangkat rute berubah ke Bendungan Kamijoro. Saksikan video selengkapnya Terima kasih #vlogfila #gowes #rektorupy #upybersepeda #kamijoro #bantul",Vlog Fila,
UPY,RGPdzo19Fsk,Kelompok Abugida Pkkmb Upy 2018,2018-10-01,5,3090,371,18,,"Mana suaranya Kelompok ABUGIDA????? Yuk jangan lupa Like dan Subscribe video kelompok kalian Perbedaan Itu Indah Oleh : Yoga Pratama Kami mahasiswa baru universitas PGRI Yogyakarta dari berbeda-beda daerah, suku dan budaya, kami semua berkumpul di UPY untuk menuntut ilmu dan saling toleransi satu sama lain walupun berbeda-beda kami tetap satu tujuan. Sebelum sampai di UPY/sampai kota Yogyakarta salah seorang Maba masih dengan kebiasaan daerah kota asalnya yang biasa membuang sampah sembarangan d...",Pkkmb Upy 2024,
UPY,6VKXHO1NIv4,Informasi Pendidikan Profesi Guru (Ppg) Di Upy,2023-06-22,2.42,112,5,0,"kuliah, ppg, upy, pmb upy",Informasi Pendidikan Profesi Guru (PPG) Bagaimana kamu udah siap untuk mengikuti program PPG setelah lulus kuliah? Yuk bergabung program PPG di UPY ——————————————————————— Social Media PMB UPY Instagram: https://www.instagram.com/pmb_upy/ Facebook: https://www.facebook.com/upy.ac.id/ Tiktok: https://www.tiktok.com/@pmb_upyofficial/ Website: https://pmb.upy.ac.id/,Pmb Upy,
UPY,idogj2M1rec,Ucapan Hari Raya Idul Fitri 1446h - Rektorat Upy,2025-04-16,1.28,15,2,0,,Kami Segenap Civitas Akademika Universitas PGRI Yogyakarta mengucapkan... Selamat Hari Raya Idul Fitri 1446H Minal Aidin wal Faidzin Mohon Maaf Lahir dan Batin #hariraya #idulfitri #lebaran #1446h #mohonmaaflahirbatin #syawal #pmbupy #2025,Pmb Upy,
UPY,hiBz63Vh5Gk,Softskill #2 Upy 2021 Featuring Woro Widowati,2021-11-20,449.05,20539,639,7,"upy, upy jogja, kkn, kuliah kerja nyata, universitas pgri yogyakarta, mahasiswa, kegiatan, upy official, sansed, sansed upy",PKKMB | LKMM-TD | SOFT SKILL UNIVERSITAS PGRI YOGYAKARTA 2021 Regenerasi Tangguh yang Aktif dan Kreatif menuju UPY APIK & Uggul,Upytv,
UPY,eJoaPZtgZa8,Profile Universitas Pgri Yogyakarta (Upy) 2015,2015-12-15,8.47,6114,110,2,,"Ide ini Muncul ketika adanya lomba pembuatan company profile untuk kampus Universitas PGRI Yogyakarta 2015. Maka dari itu kami membentuk Tim SIF-Media untuk membuat film company profile yang dilatarbelakangi oleh kampus Universitas PGRI Yogyakarta, dan Tugu Jogja yang merupakan Ikon Utama kota Jogja sebagai Kota Pelajar. Besar harapan kami agar Video Company Profile UPY 2015 ini dapat menjadi suatu alat untuk bahan Promosi bagi kampus Universitas PGRI Yogyakarta sehingga nama UPY akan lebih dike...",Pmb Upy,
UPY,qzYoONm5xh4,Contoh Video Konseling Upy,2013-07-13,7.03,2969,5,0,"bk, konseling, konselor, counseling psychology (field of study)","Ini adalah contoh video konseling dari anak Universitas PGRI Yogyakarta, semoga bermanfaat and just enjoy the show, :)",Rusti Widie,
UPY,ky18TMiKIHw,Upy (Universidad PolitéCnica De YucatáN),2019-12-19,3.87,428,16,1,,¿Quieres estudiar en la UPY? Tienes que ver la entrevista que tuvimos con el rector de la Universidad. Escucha la entrevista completa en nuestro Podcast: https://anchor.fm/academia-de-ciencias-exactas/episodes/INGENIERA-EN-DATOS--ROBTICA-COMPUTACIONAL-Y-EN-SISTEMAS-EMBEBIDOS-COMPUTACIONALES-e9jr4g,Aciex MéRida,
UPY,q2EG1l0pv-4,Indonesia Pusaka || Lomba Cvc Hmp Pgsd Upy 2020,2020-11-11,7.47,1890,379,448,,"""Video ini dibuat oleh kelompok 5 dari kelas A6-18 yang beranggotakan : 1. Alfi Rahmawati (18144600185) 2. Dinantya Putratansa (18144600186) 3. Sitirahayu (18144600192) 4. Dinarsih (18144600206) 5. Putri Indah Nur Aisyah (18144600208) Tujuan dalam pembuatan video ini untuk mengikuti lomba CVC yang diadakan oleh HMP PGSD UPY 2020/2021. Cerita dalam video sangat menarik dan dikemas apik terdapat nyanyian, tari, puisi, bangunan bersejarah, dan keindahan alam. Hal ini sesuai dengan perkembangan zama...",Hmp Pgsd Upy,
UPY,d0I9tYs3RP4,Ibu Pertiwi || Lomba Cvc Hmp Pgsd Upy 2020,2020-11-11,5.52,1033,211,151,,"Video yang kami buat berjudul ""Cepat Pulih Ibu Pertiwiku"" menceritakan tentang kerusakan bumi yang terjadi di Indonesia pada saat ini. Bumi yang sudah tua kini rusak karena ulah tangan para manusia yang tidak bertanggung jawab. Mulai dari pembakaran hutan demi pembukaan lahan, pembuangan sampah tidak pada tempatnya, dan kericuhan demo hingga merusak fasilitas kota. Semoga dengan video yang kami buat bisa menjadi renungan bagi orang-orang yang sudah tega merusak Ibu Pertiwi dan tidak mengulangi k...",Hmp Pgsd Upy,
UPY,tXKyIZhreHw,Kursi Antropometri Jadi Alat Laboratoratorium Ergonomi Pertama Teknik Industri Upy!,2023-01-21,1.75,478,35,8,solo abadi,"Teknik Industri Universitas PGRI Yogyakarta (UPY) adalah salah satu prodi termuda. Program studi yang didirikan pada 2018 lalu ini masih dalam tahap pengembangan. Salah satu hal yang dilakukan oleh civitas akademika Teknik Industri UPY adalah dengan melakukan revitalisasi instrumen alat ukur ergonomi untuk Laboratorium Sistem Kerja dan Ergonomi. Hal ini dilakukan untuk menunjang aktivitas riset dan pembelajaran. PT Solo Abadi Indonesia dipercaya untuk menyediakan alat lab ergonomi, Kursi Antropo...",Solo Abadi,
UPY,odhW7BdkbVA,My Cutie . #Shorts #Osoe#Upy#Isagood #Nstaphot,2021-10-22,0.13,1313,92,3,,cutie Tag a dog lover  . #repost @the_pawsandtails . . . . #dog #dogs #dogsofinstagram #dogslover #puppy #instagood #instaphoto #instatattoo #instadog #instafollow #instatag #instalike #instanmood #instatamil #instagram#reelvideo #reelsinstagram #labradora #trendylook #viratkohli #tiktokdance#shorts #youtubechannel #youtube #youtubeshorts,JustClick,
UPY,BQMdziikvvI,Mari Bergabung Bersama Kami Di Upy - International Class At Upy #Shorts #Internationalstudents,2025-04-18,4.1,19,3,0,,"Hallo kakak-kakak semuanya  Kenalin nih, kami mahasiswa dari Filipina, mengajak teman-teman semua, yuk bergabung untuk kuliah di Universitas PGRI Yogyakarta  Ada banyak beasiswa untuk kamu loh  yuk daftar sekarang di pmb.upy.ac.id  Follow official media PMB: Ig : @pmbupy Twitter : @pmbUPY_Official Facebook : PMB UPY channel telegram : infopmbupy Tiktok : pmb_upyofficial Kami tunggu di UPY yaa kak  #filipina #indonesia #fyp #kuliah #kuliahkaryawan #kuliahhybrid #pmbupy #upy",Pmb Upy,
UPY,rceuKLngrmY,Upy Official Live Stream [ Wisuda Sarjana Periode I 28-09-2019 ],2019-09-28,181.43,3197,57,0,,Streaming Wisuda Sarjana Periode I Tahun Akademik 2019-2020 Yogyakarta 28 September 2019,Upytv,
UPY,vH7LBuFj62M,Wisuda Sarjana & Pascasarjana Periode 1 2022/2023 Upy,2022-12-10,209.12,4079,80,2,"upy, upy jogja, kkn, kuliah kerja nyata, universitas pgri yogyakarta, mahasiswa, kegiatan, upy official, sansed, sansed upy",Wisuda SARJANA & PASCASARJANA Periode 1 2022/2023 Universitas PGRI Yogyakarta,Upytv,
UPY,3gB_FTq3KrQ,Will Disabled Millionaire Steal His Girlfriend?! | Udy Catching Cheaters,2024-03-02,23.1,2055708,56550,3435,"udy, loyalty test, catching cheaters, cheaters caught, cheaters, cheating, cheat, exposed, exposing, gold diggers, gold, diggers, caught cheating, will she cheat, cheaters videos, confrontation, millionaire, money hungry, jack tv, jacktv, new, test, investigation, loyal, loyal girlfriend, cheating girlfriend, loyalty test pass, udy pass","Got injured in an accident? You could be a click away from a claim worth millions. You can start your claim now with Morgan & Morgan at https://ForThePeople.com/UDY without leaving your couch. Remember, it's free unless you win. Kai wants to know if his girlfriend Kyra would cheat on him with another guy so we placed her to an Epic Loyalty Test / Investigation! Will she remain loyal to her boyfriend OR will she agree to go on a date with our rich and successful crippled Decoy named Isaiah?! Watc...",Udy,
UPY,usR8F0DdNTA,Upy Join Trend  #Alltoowell #Alltoowell10minuteversion #Upy #Kuliah,2024-07-19,0.62,182,11,0,,UPY ikutan join trend doong  Pendaftaran Gelombang 2 masih dibuka sampai 31 Juli 2024 Yuk daftar sekarang di pmb.upy.ac.id  #alltowell #upy #fyp #pmb #gelombang2 #jalurmandiri,Pmb Upy,
UPY,OR3sWry566c,Upy Official Live Stream Wisuda,2020-01-23,201,1767,57,1,,,Upytv,
UPY,-j5jaFAfP-0,Kelompok Laembo Pkkmb Upy 2018,2018-10-01,3.35,2197,225,7,,"Scene 1 Pagi itu udara masih membeku dan butiran embun masih menempel di dedaunan berbunga yang mekar. Beberapa orang sedang beribadah menurut agama dan kepercayaan mereka masing-masing dengan khusyu dan khidmat, bersimpuh dihadapan gusti yang mereka masing – masing yakini. (about 4 ppls enetering scenes, act : play praying as some general religion worshiper) Scene 2 Di lain sisi, di perpustakaan UPY terlihat gerombolan anak perempuan yang sedang asyik berbincang-bincang. Ada juga disana seorang...",Pkkmb Upy 2024,
UPY,XG9OYEQJU60,Vlog 1 Kkn Upy 2018 Becici Wonokerto Turi Sleman,2018-02-27,6.38,2841,25,2,"kknupy2018, kknupyxxxii, kknupy32, becici, wonokerto, turi, sleman, diy, jogja",Vlog ini berisi kegiatan kita sehari-hari dan memory kita selama KKN di Padukuhan Becici. #Selamat Menyaksikan Jangan Lupa Like Share Subscribe,Mz Fans,
UPY,EOAqDxmaVhc,Pkkmb Upy 2018 (Hari Pertama),2018-09-10,7.02,4731,169,5,,Pengenalan Kehidupan Kampus Bagi Mahasiswa Baru 2018 Universitas PGRI Yogyakarta Terimakasih kami ucapkan kepada seluruh pihak yang terkait dan kalian para Mahasiswa Baru Selamat datang di Universitas tercinta semoga apa yang kalian cita-citakan terwujud melalui kampus yang saat ini menjadi rumah kalian PKKMBUPY2018 (PANCENMANTUL),Pkkmb Upy 2024,
Universidad PY,kEqSuBhLOhU,Mejores Universidades Del Paraguay 2021,2021-08-01,4.38,1557,51,3,,,Infopy,
Universidad PY,5k5p1l5CSPI,Paraguay En El Ranking De Universidades,2012-06-13,1.22,3239,22,1,"paraguay, en, el, ranking, de, universidades","Se dio a conocer la lista de las mejores universidades de Latinoamérica. Las casas de estudio paraguayas no figuran entre las 10 mejores, ni siquiera entre las 100 . A pesar de que cada vez hay más universidades, sólo tres aparecen en el ranking",DíA A DíA,
Universidad PY,by7wXAgahD8,Así Es La Universidad Mas Importante De Paraguay *** Quedamos Maravillados Con Tanta Belleza ***,2021-07-24,14.82,18052,913,347,"asi es la universidad mas importante de paraguay, universidad nacional de asuncion, una, universidad paraguay, paraguay, asuncion, asuncion paraguay, recorriendo paraguay, viajando por paraguay, estudiar en paraguay, asi es la universidad, estudiar en paraguay para extranjeros, que carrera estudiar en paraguay, 2love bears, 2 love bears",Hola bella comunidad de osos: hicimos un recorrido por la Universidad mas importante de Paraguay. La Universidad Nacional de Asunción - UNA - Quedamos maravillados con tanta belleza natural y arquitectónica encontrada en estos espacios académicos. Acá como siempre te contamos todos los detalles. ENLACE PAGINA UNA - INTERCAMBIO ESTUDIANTIL EXTRANJEROS: https://www.una.py/educacion/movilidad-para-estudiantes-extranjeros/ Gracias a todos Los amamos siempre Bendiciones infinitas E-mail: 2lovebears@g...,2love Bears,
Universidad PY,y-iZdL7-Yc0,Uptp - PresentacióN Universidad PolitéCnica Taiwan Paraguay 2021,2021-06-03,2.65,1274,54,20,"uptp, universidad politécnica taiwan paraguay",Informaciones: www.uptp.edu.py,Universidad PolitéCnica Taiwan Paraguay (Uptp),
Universidad PY,w75m3vL5F0o,Une Se Posiciona Entre Las Mejores Universidades De Paraguay,2018-01-29,1.22,294,10,2,,Redacción: Marcelo Morínigo Corrección: Lic. Luis Chávez Web: Miguel Martínez Off: Marcelo Morínigo Dir. Gral. Asesoría de Comunic. Lic. Luis Chávez Edición de imágenes: Miguel Franco,Universidad Nacional Del Este,
Universidad PY,0fbi02P-RMg,"Universidad Central Del Paraguay Lanza Central Next, Plataforma Con Carreras 100% Virtuales",2022-02-25,1.73,891,18,0,"abc, tv, color, asuncion, paraguay, universidad central del paraguay lanza central nexte, plataforma con carreras 100% virtuales","La virtualidad vino para quedarse, por eso la Universidad Central del Paraguay apuesta a la tecnología para garantizar formaciones profesionales de calidad.",Abc Tv Paraguay,
Universidad PY,sWnSE-kQuqE,Universidad TecnolóGica TaiwáN - Paraguay,2018-12-20,1.12,1676,26,3,,"Los postulantes a las carreras de ingeniería de la Universidad Tecnológica Taiwán - Paraguay están sumidos en una intensa preparación para lograr ingresar en febrero próximo. Los sueños y expectativas son grandes entre los jóvenes, muchos llegaron desde el interior para asumir el desafío de un proyecto de superación académica. NOTA COMPLETA: https://www.hoy.com.py/nacionales/grandes-expectativas-de-postulantes-para-ingreso-a-universidad-de-elite",Diario Hoy Paraguay,
Universidad PY,iRy3m1pOVTg,#Aam | El Boom De Estudiar Medicina En Paraguay (Pgm 51),2019-10-31,4.25,3279,91,17,"aam, paraguay, asuncion, algo anda mal, santiago gonzález, enrique dávalos, ricardo alderete, noticias paraguay, periodistico",La educación terciaria en el Paraguay está siendo objeto de numerosos análisis y cuestionamientos. La formación médica carece de una certificación competente y son pocas las universidades que están en regla y con una infraestructura real para desarrollar académicamente a quienes quieren ser médicos.,Algo Anda Mal,
Universidad PY,UQ14q4oYci8,Paraguay Destaca Universidad Nacional En Primer Lugar,2025-05-11,0.67,771,2,0,,"Paraguay escala posiciones en el ranking científico mundial Según el AD Scientific Index 2025, Paraguay ocupa el puesto #107 a nivel mundial y #13 en América Latina.  La Universidad Nacional de Asunción lidera como la mejor universidad pública del país con 351 científicos destacados en productividad y citaciones.  El físico Jorge Molina es el científico número uno del país por su impacto global.  Este análisis considera H-index, i10-index y citaciones totales, ofreciendo una visión prec...",Ad Scientific Index (Alper-Doger Scientific Index),
Universidad PY,igfc-rycNmo,Universidades De DiseñO GráFico En Paraguay / ¿Donde Estudiar? ¿Es Caro?/ Cual Te Recomiendo!!,2021-01-18,5.62,918,77,29,"#diseñografico #paraguay #diseñoenparaguay #asunciondiseñografico #asuncion #carrera, #diseñografico #especialidadesdiseñografico #diseña #barcelona #españa #photoshop, #brand #ilustracion #picoftheday #typography #instagood #artoftheday","Hoy te hablo sobre las MEJORES UNIVERDIDADES, para estudiar DISEÑO GRÁFICO EN PARAGUAY!! . Seguime en mis redes sociales  FACEBOOK: https://www.facebook.com/fernando.garciaespinola?ref=bookmarks INSTAGRAM: https://www.instagram.com/fergarcia_98/ SUSCRÍBETE si te gusto el vídeo para no perderte los próximos",Fernando GarcíA,
Universidad PY,pRQUVwu2MjE,Universidad TaiwáN - Paraguay Ya Tiene Predio,2022-07-20,2.17,922,26,3,"abc, tv, color, asuncion, paraguay, taiwán, universidad","La construcción de la Universidad Politécnica Taiwán-Paraguay, que estaba prevista en el Parque Guasu Metropolitano, ya no será posible y el largo conflicto llegó a su fin, tras la promulgación del Ejecutivo de la ley que lo declara área silvestre protegida a las 123 hectáreas del espacio verde capitalino.",Abc Tv Paraguay,
