Item_Identifier,Total_Sales,Avg_Sales,Store_Count,Avg_MRP,Avg_Visibility,Item_Weight,Item_Fat_Content_Low Fat,Item_Fat_Content_NA,Item_Fat_Content_Regular,Item_Type_Baking Goods,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Item_Category_Broad_Drink,Item_Category_Broad_Food,Item_Category_Broad_Non-Consumable
DRD15,0.8150740604344242,0.2921734552525284,1.0032778943924114,1.479535522938573,-0.03817643615068727,-0.4754628406150205,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRD24,0.26025154438773107,-0.20058958711299724,1.0032778943924114,0.016645264565540323,-0.7726686831712855,0.22425290706459675,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRD25,0.2838147042880597,-0.39933790784195455,1.657717324249219,-0.44979635280811026,0.528708863866128,-1.4367646293502483,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRD27,-0.7925201579863888,-0.8150179510081725,-0.3056009653212034,-0.6920827138371326,-0.8879823822455488,1.2792089574123273,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRD37,-0.807282619610691,-1.1487150998070952,1.0032778943924114,-1.530289983745021,-1.1672883940719023,-0.6477005631207722,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRD49,0.37163242471980623,1.2748839913021461,-0.9600403951780108,1.5603502612381657,2.0802288701155254,-0.6272473335732144,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRD60,0.5268275341034967,0.36504153605261563,0.348838464535604,0.6577697537097492,-0.5999143874955792,0.6225526403591476,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRE01,-0.8682250893930671,0.6327287763620475,-2.2689192548916255,1.6234885876327168,3.254918773190324,-0.5831114171811154,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRE03,-1.0499169247690947,-1.3642096317233852,1.0032778943924114,-1.5193354774424437,-0.9251145694002465,1.4622115375746891,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRE12,-0.3757645105926248,-0.5701968881493484,0.348838464535604,-0.4575816627110049,0.01158382844376105,-1.7693987309394819,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRE13,-0.5916181962659162,-0.5652157482930411,-0.3056009653212034,-0.878356723163412,-0.9020100030240399,-1.4055465421460807,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRE15,-0.7132192423378931,-0.9198572174326577,0.348838464535604,-1.0500942166061762,-1.0413585797466531,0.1166043304985018,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRE25,-0.6483022636566667,-0.635696916181107,-0.3056009653212034,-0.7824814370861507,0.06669573683317258,0.5471986367628816,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRE27,-0.8463652904493886,-1.0578191028229034,0.348838464535604,-0.6967259800468042,1.6445377491083808,-0.20634139919978306,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRE37,-0.35116040788545433,-0.26622969219358317,-0.3056009653212034,0.7785838035366414,0.8889160051272674,0.14889890346833037,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRE48,1.7784193125844054,1.1477640694911522,1.0032778943924114,0.8984864735382516,-1.122112141172988,-0.9426576629118726,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRE49,1.7356460263396323,0.43269875063631824,2.3121567541060264,0.18456787945332517,-0.99456723904737,1.7098032636767073,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRE60,1.779933411212539,1.6634717324546295,0.348838464535604,1.3669083976219796,2.3211612504632466,-0.7348959101393093,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRF01,0.17025730717804216,-0.48758644860330586,1.657717324249219,0.08777983290468996,2.629114792609888,-1.5401072628536994,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRF03,-1.0714928302199982,-1.4525842418286812,1.657717324249219,-1.6237894080070885,-0.44673504191856084,1.354562961008594,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRF13,0.5949619723695072,0.43564036866169636,0.348838464535604,0.06846474749457068,-0.8559727598093442,-0.1525171109167356,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRF15,-1.1507937458684936,-1.0913535483122168,-0.9600403951780108,0.20091595641355503,-0.6073010682782466,1.1930900961594517,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRF23,1.3050742289641493,0.3943106354051303,1.657717324249219,0.5265797649950336,1.3680305667370152,-1.765092787876838,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRF25,-0.914215835222624,-1.2436873389121685,1.0032778943924114,-1.6916161784195163,-0.5751173130896098,-0.8199382856265243,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRF27,0.7863061864998864,-0.008838114972975802,1.657717324249219,0.1862178282348148,-0.8295783737854163,-0.8350090863457776,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRF36,2.134516383688568,2.030879823824388,0.348838464535604,0.8017367782699256,-0.9329336564614628,0.7086715016120244,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRF37,0.9216287513893239,0.7741225494485678,0.348838464535604,1.954871109026315,0.30452872930920427,0.9562632277140425,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRF48,-1.4821920831012279,-0.6145172663983827,-2.923358684748433,0.7599409393677926,-0.38787319713693247,-1.5239599763687852,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRF49,-0.5460059750933927,-0.7465959157378715,0.348838464535604,-0.4508841485228181,0.20994027965169135,-1.192402360545213,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRF51,-1.4198301458549765,-1.3669831572901705,-1.6144798250348182,-1.6691702478900234,2.0383991460572672,0.6333174980157577,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRF60,0.9475576903961116,2.170018356424786,-0.9600403951780108,1.574444356752026,-0.3810242984175112,-0.43240340998858223,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRG01,-0.8243162291771936,-0.854553297269258,-0.3056009653212034,-1.035772467892396,-0.39512028375788183,0.4287852025401774,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRG03,0.27245896457705787,0.509180819296156,-0.3056009653212034,0.21276788267538257,0.0030994446049223156,0.3641960566005203,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRG11,-0.6064752890544768,-0.5836891094924171,-0.3056009653212034,-0.514651742724693,0.5923407249905981,-1.382940341067201,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRG13,0.9930752804043765,1.4051976698264084,-0.3056009653212034,0.3804924515516478,-0.6998200899771687,0.9562632277140425,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRG15,-0.5805463500476896,-0.7823856017133085,0.348838464535604,-1.2887155758836701,0.1422779365938677,-1.4378411151159094,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRG23,0.060390525474100294,-0.3780952233872581,1.0032778943924114,0.18892596554261257,0.35192006321234287,-0.8457739440023868,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRG25,-0.3965833667294614,2.0988312002106286,-2.2689192548916255,0.7411627718820109,-1.085728423951964,-0.4969925559282394,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRG27,-1.3254828750894039,-1.4777056597654126,-0.3056009653212034,-1.6129570888835782,1.1627604842516315,-0.8425444867054043,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRG36,0.8586990271575229,1.2381137659849173,-0.3056009653212034,0.4925686990778706,0.5336073180275352,0.28884205300425386,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRG37,-0.056289700056442515,-0.48172422410987326,1.0032778943924114,0.22782106700723198,-1.0340153022264242,0.730201216925243,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRG39,-1.2762746696750629,-1.0694875209902377,-1.6144798250348182,-1.4224951197474658,-0.5926948740339154,0.28884205300425386,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRG48,0.08736040728772952,0.2790286249905522,-0.3056009653212034,0.0802092901715308,-1.1807822872769178,-1.5131951187121757,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRG49,0.9445294931398445,1.3448356679456446,-0.3056009653212034,1.662910175473429,0.13726706164318134,-1.0761418978538304,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRG51,-0.2457412909016549,-0.13515119298272288,-0.3056009653212034,0.38500256211608336,-1.211511602953073,-0.1525171109167356,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRH01,0.13278336613173658,0.3355076910778169,-0.3056009653212034,0.5171037005483998,0.9021542969778098,1.0100875159970901,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRH03,-1.059001516537896,-1.2781462929237437,0.348838464535604,-0.7830720468029222,-0.5680264371629934,0.9562632277140425,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRH11,-1.1608246492798786,-1.1069441238467224,-0.9600403951780108,-1.3836244096971237,0.11347863271780857,-1.4701356880857377,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRH13,-1.119565461663239,-1.221667226836479,-0.3056009653212034,-0.5525302284508594,-0.9061351268595836,-0.9114395757077051,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRH15,-1.2327443341162228,-1.2187256088111005,-0.9600403951780108,-1.568355316908857,1.4310236546257342,-0.8683801450812669,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRH23,-1.129407102746107,-1.233904357822053,-0.3056009653212034,-1.3805639775283998,2.811412755098424,0.39649062957034886,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRH25,-1.0601370905089964,-1.279322940133895,0.348838464535604,-1.4431524999684295,-1.1382700047288905,1.2684440997557178,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRH36,-0.6032578294696931,-0.8059185459163356,0.348838464535604,-1.0804021595991826,-0.6737456187417136,0.730201216925243,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRH37,0.10486717267552396,-0.07218095645278964,0.348838464535604,0.3754454230628747,-0.49457061860680923,1.0316172313103094,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRH39,-0.43254320914763367,-0.629029248656916,0.348838464535604,-1.0391013590232887,0.4788422728051856,1.6990384060200976,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRH49,-1.378097802417045,-1.4446418731601596,-0.9600403951780108,-0.9213735134254887,-0.8677950915808446,1.4837412528879077,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRH51,-1.0079006878383885,-1.0828228560386197,-0.3056009653212034,-0.8299406862541965,0.9619566692083217,1.0316172313103094,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRH59,-1.4242778105751188,-1.376200227103023,-1.6144798250348182,-1.0846695832618176,0.16870740429275338,-0.43240340998858184,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRI01,1.3932704740529296,0.8056959162542957,1.0032778943924114,0.5088170627092953,-0.6598858829592482,-1.04169435335268,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRI03,1.501907050621513,0.5472747727248058,1.657717324249219,0.5767257514564647,-0.9469084134676812,-1.4593708304291282,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRI11,-0.3033716699349887,-0.7011689288030999,1.0032778943924114,-0.4180833723096729,-0.6105487621058582,-0.9792581789443449,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRI13,0.09436311344284735,0.8439369505842149,-0.9600403951780108,1.230458224002529,-1.057441528363624,0.5471986367628816,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRI23,0.5856881182721894,0.42603108311212723,0.348838464535604,0.3124413261494075,1.4280324870514782,1.3007386727255468,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRI25,-0.8387947973087208,-1.176702494162838,1.0032778943924114,-1.3669416027623496,-0.7005201094658515,1.4622115375746891,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRI37,-1.1453051383415094,-1.3675714808952462,0.348838464535604,-1.3308077934800377,1.0536352315266764,0.6548472133289766,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRI39,-0.7859906076525627,-0.8068990852581283,-0.3056009653212034,-1.3739341149986797,0.8505784413684276,0.2134880494079875,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRI47,0.246908550227304,0.0749979987503081,0.348838464535604,0.04406290166927739,-0.9955816961486715,0.4072554872269577,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRI49,-0.8867727975877032,-0.6809978337719339,-0.9600403951780108,-0.9432249991101789,2.4121639773638597,0.28884205300425386,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRI51,1.1616133839484943,1.0227873265272203,0.348838464535604,0.5062998380748797,-0.47137739105470705,0.9562632277140425,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRI59,-0.39128402153099395,2.1153042611527475,-2.2689192548916255,1.337702210209714,-0.6226088464780989,-0.7122897090604293,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRJ01,-0.572786594578505,-0.7743451791106075,0.348838464535604,0.32021267618626964,1.2272022673710343,-1.4367646293502483,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRJ11,1.2076041297780513,0.6407972143745141,1.0032778943924114,0.7789979973639879,0.5618748894727476,-0.7122897090604293,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRJ13,0.1751781277194763,0.0006731166424144994,0.348838464535604,0.3070721469060322,-0.002306499121234186,-0.034103676694030985,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRJ23,0.34759610899818594,0.6026066077821729,-0.3056009653212034,0.7650534718433347,-0.4546973622988377,1.1930900961594517,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRJ24,0.5412114710707656,-0.19930788211622533,1.657717324249219,0.7185059093108144,1.348536455050316,-0.21710625685639234,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRJ25,-1.1136983294792213,-1.0336978350148007,-0.9600403951780108,-1.48900314303516,1.7176347814665125,0.3857257719137392,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRJ35,-1.3935226821911557,-1.3124651698864913,-1.6144798250348182,-1.2943392542231817,-0.4992838856162557,-0.5831114171811154,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRJ37,-0.443520424201602,0.6562617205650745,-1.6144798250348182,0.16148040870681038,-0.19228681580617676,-0.43240340998858184,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRJ39,1.9477144654425897,1.8373213577544918,0.348838464535604,1.2569937816591397,-0.718662280354781,1.6021546871106123,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRJ47,0.12578065997661875,0.8927678098054959,-0.9600403951780108,0.5298963070136665,-0.5508136405141886,1.1715603808462325,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRJ49,-0.2996810545289133,-0.20222008396135,-0.3056009653212034,-0.20594111760417338,-1.1920259574656742,-1.2795977075637497,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRJ51,0.858982920650298,1.2384667601479626,-0.3056009653212034,1.4431743672665849,0.38148208117262816,0.27807719534764425,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRJ59,-1.294254590884149,-1.5219083732934315,0.348838464535604,-1.6361637554092965,-1.0230161183774846,-0.2494008298262209,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRK01,-0.6871010410025892,-0.6839394517973122,-0.3056009653212034,-0.7571668307894832,-0.19002284412632647,-1.1148953854176245,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRK11,-0.3170931887524491,-0.5094034489581953,0.348838464535604,0.13710648261358174,-1.2269083565770555,-0.9900230366009541,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRK12,-1.1365990712297414,-1.503180071865189,1.657717324249219,-1.7508182828081882,-0.5996856404626103,-0.7122897090604293,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRK13,1.4634867979326238,1.33557937655912,0.348838464535604,0.9320542753575936,0.9576345687048826,-0.21710625685639195,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRK23,2.188740040808602,2.8918914198526386,-0.3056009653212034,1.8071596188618075,0.039990323088244385,-0.9501930632714992,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRK35,-1.0098879422878138,-1.404709408465648,1.657717324249219,-1.6604453316195382,0.3079831959221558,-0.9566519778654647,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRK37,0.8402459501271449,1.2151691453869653,-0.3056009653212034,0.7815765840468989,-0.3233022625935983,-1.6811268981552838,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRK39,-0.5238622826569392,-0.4809678080462045,-0.3056009653212034,-0.935615798286467,-0.4323028493635105,-1.2462266488282605,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRK47,0.6096298028295511,0.9284202202730817,-0.3056009653212034,1.4309745181897864,-0.12786894280160452,-1.0556886683062723,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRK49,-1.1061278363385534,-1.4141330919255208,1.0032778943924114,-1.6150740795566807,-0.7266398469057405,0.28884205300425386,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRK59,0.23706690914443573,0.06480038959566309,0.348838464535604,1.5090241291790403,0.32941427207530893,-0.8425444867054043,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRL01,2.5566660074450587,1.8389602592257739,1.0032778943924114,1.4867176439047542,0.48240436830099903,1.44068182226147,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRL11,0.5254080666396216,0.8236986185696115,-0.3056009653212034,0.2793693296819114,-0.46989947736087756,-0.4969925559282394,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRL23,-0.7198434238359777,-0.4215471239335614,-0.9600403951780108,-0.556785839919159,-1.1648393818993783,1.1930900961594517,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRL35,-0.9321957564317102,-1.2596561224785081,1.0032778943924114,-1.5788496078477166,-0.8377071625674813,0.622552640359148,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRL37,-0.9260447307549176,-1.2541931175742338,1.0032778943924114,-1.576318423347268,-0.3564143265813132,0.5794932097327102,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRL47,-0.7291172779332956,-0.736182587928032,-0.3056009653212034,-0.23379105033956274,-0.6681237220716677,1.4837412528879077,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRL49,-0.9051312434538226,-1.1187105959482355,0.348838464535604,0.028520201595553612,-0.15548766808116793,0.07354489987206397,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRL59,-1.4956297084259134,-1.317563974463814,-2.2689192548916255,-1.3905764229814466,-0.870204128101983,0.8486146511479475,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRL60,-0.09130323083203115,-0.5128213289495874,1.0032778943924114,0.17696036608594704,-0.7979049882395209,-0.9232809191299755,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRM11,-0.10388917567839145,1.36009286010394,-1.6144798250348182,1.928349511235736,-0.08563341386096153,-1.3431103677377456,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRM23,1.0991568155379843,0.5444802356006959,1.0032778943924114,0.5039848013902575,1.7205967250166014,0.8163200781781194,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRM35,0.6383030455998309,1.6893579710779596,-0.9600403951780108,0.5943490084869965,0.006736687439785297,-0.6703067641996522,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRM37,2.19858168189147,1.5209293275677236,1.0032778943924114,0.9063101347214557,0.974515499046631,0.5471986367628816,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
