Item_Identifier,Total_Sales,Avg_Sales,Store_Count,Avg_MRP,Avg_Visibility,Item_Weight,Item_Fat_Content,Broad_Category,Item_Type,Cluster,Cluster_Label
DRD27,6349.0688,1269.81376,5,98.0442,0.0283531149999999,18.75,Low Fat,Drinks,Dairy,3,Drinks
DRD37,6245.204,892.1719999999999,7,46.00600000000001,0.0151987722857142,9.8,Low Fat,Drinks,Soft Drinks,3,Drinks
DRD49,14539.7404,3634.9351,4,237.8814,0.168145552,9.895,Low Fat,Drinks,Soft Drinks,3,Drinks
DRD60,15631.6524,2605.2754,6,181.84673333333333,0.0419201166666666,15.7,Low Fat,Drinks,Soft Drinks,3,Drinks
DRE01,5816.4288,2908.2144,2,241.8012,0.223469365,10.1,Low Fat,Drinks,Soft Drinks,3,Drinks
DRE03,4538.0928,648.2989714285715,7,46.68608571428571,0.026604318,19.6,Low Fat,Drinks,Dairy,3,Drinks
DRE12,9281.252,1546.8753333333334,6,112.60266666666666,0.070719558,4.59,Low Fat,Drinks,Soft Drinks,3,Drinks
DRE13,7762.5622,1552.51244,5,86.4798,0.0276924628,6.28,Low Fat,Drinks,Soft Drinks,3,Drinks
DRE15,6907.0092,1151.1682,6,75.81786666666666,0.021129629,13.35,Low Fat,Drinks,Dairy,3,Drinks
DRE25,7363.748,1472.7496,5,92.432,0.0733151374,15.35,Low Fat,Drinks,Soft Drinks,3,Drinks
DRE27,5970.2286,995.0381,6,97.75593333333332,0.147626014,11.85,Low Fat,Drinks,Dairy,3,Drinks
DRE37,9454.36,1890.872,5,189.3472,0.1120388552499999,13.5,Low Fat,Drinks,Soft Drinks,3,Drinks
DRE48,24437.5232,3491.0747428571426,7,196.7910857142857,0.0173264168333333,8.43,Low Fat,Drinks,Soft Drinks,3,Drinks
DRE49,24136.5816,2681.8424,9,152.46906666666666,0.0233333385714285,20.75,Low Fat,Drinks,Soft Drinks,3,Drinks
DRE60,24448.176,4074.696,6,225.872,0.17949263,9.395,Low Fat,Drinks,Soft Drinks,3,Drinks
DRF01,13122.918,1640.36475,8,146.4602,0.1939961718571428,5.655,Low Fat,Drinks,Soft Drinks,3,Drinks
DRF03,4386.2904,548.2863,8,40.2013,0.049134331625,19.1,Low Fat,Drinks,Dairy,3,Drinks
DRF13,16111.0284,2685.1714,6,145.26106666666666,0.029860657,12.1,Low Fat,Drinks,Soft Drinks,3,Drinks
DRF15,3828.35,957.0875,4,153.48399999999998,0.0415722296666666,18.35,Low Fat,Drinks,Dairy,3,Drinks
DRF23,21107.1916,2638.39895,8,173.7021,0.1346034864285714,4.61,Low Fat,Drinks,Hard Drinks,3,Drinks
DRF25,5492.85,784.6928571428572,7,35.99042857142857,0.0430879727142857,9.0,Low Fat,Drinks,Soft Drinks,3,Drinks
DRF27,17457.275999999998,2182.1595,8,152.5715,0.031103740875,8.93,Low Fat,Drinks,Dairy,3,Drinks
DRF36,26942.9286,4490.4881,6,190.7846,0.0262360661666666,16.1,Low Fat,Drinks,Soft Drinks,3,Drinks
DRF37,18409.37,3068.228333333333,6,262.37433333333337,0.0845162449999999,17.25,Low Fat,Drinks,Soft Drinks,3,Drinks
DRF48,1496.7184,1496.7184,1,188.1898,0.05190652,5.73,Low Fat,Drinks,Soft Drinks,3,Drinks
DRF49,8083.4778,1347.2463,6,113.01846666666668,0.0800614576666666,7.27,Low Fat,Drinks,Soft Drinks,3,Drinks
DRF51,1935.4806,645.1602,3,37.38393333333334,0.1661755173333333,15.75,Low Fat,Drinks,Dairy,3,Drinks
DRF60,18591.7992,4647.9498,4,238.7564,0.0522290793333333,10.8,Low Fat,Drinks,Soft Drinks,3,Drinks
DRG01,6125.36,1225.072,5,76.707,0.0515652074,14.8,Low Fat,Drinks,Soft Drinks,3,Drinks
DRG03,13841.982,2768.3964,5,154.2198,0.070319973,14.5,Low Fat,Drinks,Dairy,3,Drinks
DRG11,7658.0316,1531.60632,5,109.0596,0.09807119,6.385,Low Fat,Drinks,Hard Drinks,3,Drinks
DRG13,18912.049,3782.4098,5,164.6326,0.0372149052,17.25,Low Fat,Drinks,Soft Drinks,3,Drinks
DRG15,7840.4608,1306.7434666666666,6,61.003600000000006,0.0768747964,6.13,Low Fat,Drinks,Dairy,3,Drinks
DRG23,12349.9242,1764.2748857142856,7,152.73962857142857,0.0867482121666666,8.88,Low Fat,Drinks,Hard Drinks,3,Drinks
DRG25,9134.776,4567.388,2,187.024,0.0190399635,10.5,Low Fat,Drinks,Soft Drinks,3,Drinks
DRG27,2599.2832,519.85664,5,40.8738,0.12493597875,8.895,Low Fat,Drinks,Dairy,3,Drinks
DRG36,17966.613,3593.3226000000004,5,171.5906,0.0953050506,14.15,Low Fat,Drinks,Soft Drinks,3,Drinks
DRG37,11528.9928,1646.9989714285714,7,155.15434285714286,0.0214754718571428,16.2,Low Fat,Drinks,Soft Drinks,3,Drinks
DRG39,2945.4992,981.8330666666668,3,52.69820000000001,0.0422601306666666,14.15,Low Fat,Drinks,Dairy,3,Drinks
DRG48,12539.6772,2507.93544,5,145.99020000000002,0.0145632567999999,5.78,Low Fat,Drinks,Soft Drinks,3,Drinks
DRG49,18570.4936,3714.09872,5,244.2486,0.0766388016,7.81,Low Fat,Drinks,Soft Drinks,3,Drinks
DRG51,10196.0612,2039.21224,5,164.9126,0.0131160127999999,12.1,Low Fat,Drinks,Dairy,3,Drinks
DRH01,12859.2612,2571.85224,5,173.1138,0.1126623328,17.5,Low Fat,Drinks,Soft Drinks,3,Drinks
DRH03,4474.176,745.696,6,92.39533333333333,0.0434219283333333,17.25,Low Fat,Drinks,Dairy,3,Drinks
DRH11,3757.775200000001,939.4438,4,55.1114,0.07551844925,5.98,Low Fat,Drinks,Hard Drinks,3,Drinks
DRH13,4048.064,809.6128,5,106.708,0.0274981838,8.575,Low Fat,Drinks,Soft Drinks,3,Drinks
DRH15,3251.7672,812.9418000000001,4,43.6428,0.137570242,8.775,Low Fat,Drinks,Dairy,3,Drinks
DRH23,3978.8208,795.76416,5,55.3014,0.2025817725,14.65,Low Fat,Drinks,Hard Drinks,3,Drinks
DRH25,4466.1864000000005,744.3644,6,51.41573333333333,0.0165654376,18.7,Low Fat,Drinks,Soft Drinks,3,Drinks
DRH36,7680.668799999999,1280.1114666666665,6,73.93626666666667,0.0384429222,16.2,Low Fat,Drinks,Soft Drinks,3,Drinks
DRH37,12662.8502,2110.4750333333336,6,164.31926666666666,0.0468814421666666,17.6,Low Fat,Drinks,Soft Drinks,3,Drinks
DRH39,8881.771999999999,1480.2953333333332,6,76.50033333333333,0.09272580725,20.7,Low Fat,Drinks,Dairy,3,Drinks
DRH49,2229.0984,557.2746,4,83.8092,0.0293038662499999,19.7,Low Fat,Drinks,Soft Drinks,3,Drinks
DRH51,4833.708,966.7416,5,89.4856,0.11547881675,17.6,Low Fat,Drinks,Dairy,3,Drinks
DRH59,1904.188,634.7293333333333,3,73.67133333333334,0.0781195324999999,10.8,Low Fat,Drinks,Hard Drinks,3,Drinks
DRI01,21727.7172,3103.9596,7,172.59934285714286,0.0390956676,7.97,Low Fat,Drinks,Soft Drinks,3,Drinks
DRI03,22492.0556,2811.50695,8,176.8153,0.0255779036666666,6.03,Low Fat,Drinks,Dairy,3,Drinks
DRI11,9790.589,1398.6555714285714,7,115.05482857142856,0.0414192745714285,8.26,Low Fat,Drinks,Hard Drinks,3,Drinks
DRI13,12588.9464,3147.2366,4,217.4008,0.0203721779999999,15.35,Low Fat,Drinks,Soft Drinks,3,Drinks
DRI23,16045.78,2674.2966666666666,6,160.40779999999998,0.1374293684,18.85,Low Fat,Drinks,Hard Drinks,3,Drinks
DRI25,6023.4926000000005,860.4989428571429,7,56.14711428571429,0.0371819367142857,19.6,Low Fat,Drinks,Soft Drinks,3,Drinks
DRI37,3866.9664,644.4944,6,58.3904,0.1197965585,15.85,Low Fat,Drinks,Soft Drinks,3,Drinks
DRI39,6395.009,1279.0018,5,55.713,0.1102332892,13.8,Low Fat,Drinks,Dairy,3,Drinks
DRI47,13662.216,2277.036,6,143.74613333333335,0.0232855611666666,14.7,Low Fat,Drinks,Hard Drinks,3,Drinks
DRI49,5685.932,1421.483,4,82.4526,0.18377854225,14.15,Low Fat,Drinks,Soft Drinks,3,Drinks
DRI51,20097.8388,3349.6398000000004,6,172.44306666666668,0.0479737626,17.25,Low Fat,Drinks,Dairy,3,Drinks
DRI59,9172.0608,4586.0304,2,224.0588,0.0408512865,9.5,Low Fat,Drinks,Hard Drinks,3,Drinks
DRJ01,7895.0564,1315.8427333333334,6,160.89026666666666,0.1279709628333333,6.135,Low Fat,Drinks,Soft Drinks,3,Drinks
DRJ11,20421.4176,2917.3453714285715,7,189.3729142857143,0.096636355,9.5,Low Fat,Drinks,Hard Drinks,3,Drinks
DRJ13,13157.5396,2192.9232666666667,6,160.07446666666667,0.0700653718333333,12.65,Low Fat,Drinks,Soft Drinks,3,Drinks
DRJ23,14370.6272,2874.12544,5,188.5072,0.048759334,18.35,Low Fat,Drinks,Hard Drinks,3,Drinks
DRJ24,15732.854,1966.60675,8,185.6174,0.1336853815,11.8,Low Fat,Drinks,Soft Drinks,3,Drinks
DRJ25,4089.3436,1022.3359,4,48.5692,0.15106863025,14.6,Low Fat,Drinks,Soft Drinks,3,Drinks
DRJ35,2120.5730000000003,706.8576666666668,3,60.65446666666667,0.0466594636666666,10.1,Low Fat,Drinks,Hard Drinks,3,Drinks
DRJ37,8804.5392,2934.8464,3,151.03573333333335,0.061117959,10.8,Low Fat,Drinks,Soft Drinks,3,Drinks
DRJ39,25628.6394,4271.4399,6,219.0482,0.0363275035,20.25,Low Fat,Drinks,Dairy,3,Drinks
DRJ47,12809.992,3202.498,4,173.908,0.04423259125,18.25,Low Fat,Drinks,Hard Drinks,3,Drinks
DRJ49,9816.5552,1963.31104,5,128.2252,0.014033719,6.865,Low Fat,Drinks,Soft Drinks,3,Drinks
DRJ51,17968.6104,3593.7220800000005,5,230.6068,0.0881404804999999,14.1,Low Fat,Drinks,Dairy,3,Drinks
DRJ59,2818.9972,469.8328666666666,6,39.43306666666667,0.0219934952,11.65,Low Fat,Drinks,Hard Drinks,3,Drinks
DRK01,7090.77,1418.154,5,94.0036,0.0612245842,7.63,Low Fat,Drinks,Soft Drinks,3,Drinks
DRK11,9694.048,1615.6746666666668,6,149.5225333333333,0.0123908792,8.21,Low Fat,Drinks,Hard Drinks,3,Drinks
DRK12,3928.22,491.0275,8,32.315,0.0419308898571428,9.5,Low Fat,Drinks,Soft Drinks,3,Drinks
DRK13,22221.7408,3703.6234666666655,6,198.8750666666667,0.1152752608333333,11.8,Low Fat,Drinks,Soft Drinks,3,Drinks
DRK23,27324.432,5464.8864,5,253.204,0.0720574052,8.395,Low Fat,Drinks,Hard Drinks,3,Drinks
DRK35,4819.7262,602.465775,8,37.9256,0.084678938375,8.365,Low Fat,Drinks,Hard Drinks,3,Drinks
DRK37,17836.782,3567.3564,5,189.533,0.0549475866666666,5.0,Low Fat,Drinks,Soft Drinks,3,Drinks
DRK39,8239.275,1647.855,5,82.925,0.04981403775,7.02,Low Fat,Drinks,Dairy,3,Drinks
DRK47,16214.2274,3242.84548,5,229.8494,0.064151817,7.905,Low Fat,Drinks,Hard Drinks,3,Drinks
DRK49,4142.6076,591.8010857142857,7,40.742371428571424,0.0359517878333333,14.15,Low Fat,Drinks,Soft Drinks,3,Drinks
DRK59,13592.9728,2265.4954666666667,6,234.69493333333327,0.0856882675999999,8.895,Low Fat,Drinks,Hard Drinks,3,Drinks
DRL01,29913.062400000003,4273.294628571429,7,233.3100857142857,0.0928935695714285,19.5,Regular,Drinks,Soft Drinks,3,Drinks
DRL11,15621.6654,3124.33308,5,158.3546,0.0480433672,10.5,Low Fat,Drinks,Hard Drinks,3,Drinks
DRL23,6860.4032,1715.1008,4,106.4438,0.01531411225,18.35,Low Fat,Drinks,Hard Drinks,3,Drinks
DRL35,5366.348,766.6211428571429,7,42.99128571428572,0.0307209031666666,15.7,Low Fat,Drinks,Hard Drinks,3,Drinks
DRL37,5409.625,772.8035714285714,7,43.14842857142857,0.0533881235,15.5,Low Fat,Drinks,Soft Drinks,3,Drinks
DRL47,6795.1548,1359.03096,5,126.4962,0.038707694,19.7,Low Fat,Drinks,Hard Drinks,3,Drinks
DRL49,5556.7668,926.1278,6,142.7812,0.062851071,13.15,Low Fat,Drinks,Soft Drinks,3,Drinks
DRL59,1402.1747999999998,701.0873999999999,2,54.6798,0.029190409,16.75,Low Fat,Drinks,Hard Drinks,3,Drinks
DRL60,11282.6468,1611.8066857142858,7,151.99677142857144,0.0325954472857142,8.52,Low Fat,Drinks,Soft Drinks,3,Drinks
DRM11,11194.0954,3731.365133333333,3,260.7278,0.0661409636666666,6.57,Low Fat,Drinks,Hard Drinks,3,Drinks
DRM23,19658.4108,2808.3443999999995,7,172.29934285714288,0.1512081274999999,16.6,Low Fat,Drinks,Hard Drinks,3,Drinks
DRM35,16415.9648,4103.9912,4,177.9094,0.0704912744999999,9.695,Low Fat,Drinks,Hard Drinks,3,Drinks
DRM37,27393.6752,3913.382171428572,7,197.2768,0.116070294,15.35,Low Fat,Drinks,Soft Drinks,3,Drinks
DRM47,17770.8678,2961.8113,6,191.70126666666667,0.0487105991666666,9.3,Low Fat,Drinks,Hard Drinks,3,Drinks
DRM48,3504.7712,876.1928,4,37.4598,0.112861113,15.2,Low Fat,Drinks,Soft Drinks,3,Drinks
DRM49,4014.774,802.9548000000001,5,44.5286,0.152207128,6.11,Regular,Drinks,Soft Drinks,3,Drinks
DRM59,16302.7788,2328.9684,7,154.02837142857143,0.0039813265714285,5.88,Low Fat,Drinks,Hard Drinks,3,Drinks
DRN11,9144.0972,2286.0243,4,144.1944,0.16335672675,7.85,Low Fat,Drinks,Hard Drinks,3,Drinks
DRN35,4026.7584,671.1264,6,36.36986666666667,0.0781902735,8.01,Low Fat,Drinks,Hard Drinks,3,Drinks
DRN36,6711.263999999999,1342.2527999999998,5,95.4552,0.05955943425,15.199999999999998,Low Fat,Drinks,Soft Drinks,3,Drinks
DRN37,10862.527,1810.4211666666667,6,166.9658,0.1094420648,9.6,Low Fat,Drinks,Soft Drinks,3,Drinks
DRN47,26245.836,2916.204,9,179.42155555555556,0.018255372375,12.1,Low Fat,Drinks,Hard Drinks,3,Drinks
DRN59,3215.8140000000003,803.9535000000001,4,46.056,0.0642121235,15.0,Low Fat,Drinks,Hard Drinks,3,Drinks
DRO35,10426.428,2606.607,4,115.7242,0.034650207,13.85,Low Fat,Drinks,Hard Drinks,3,Drinks
DRO47,8828.508,1471.418,6,113.086,0.1275969894,10.195,Low Fat,Drinks,Hard Drinks,3,Drinks
DRO59,4174.566,1043.6415,4,76.3262,0.0644450505,11.8,Low Fat,Drinks,Hard Drinks,3,Drinks
DRP35,17385.3696,2173.1712,8,127.8336,0.099416358875,18.85,Low Fat,Drinks,Hard Drinks,3,Drinks
DRP47,15140.292,3785.073,4,252.2632,0.14082754225,15.75,Low Fat,Drinks,Hard Drinks,3,Drinks
DRQ35,18204.3036,2600.6148,7,123.82451428571429,0.0423364544285714,9.3,Low Fat,Drinks,Hard Drinks,3,Drinks
DRY23,3025.3952,504.2325333333333,6,42.69453333333333,0.1227888823333333,9.395,Regular,Drinks,Soft Drinks,3,Drinks
DRZ11,10526.298,1754.3829999999998,6,123.02213333333331,0.1128083668333333,8.85,Regular,Drinks,Soft Drinks,3,Drinks
DRZ24,13062.996,2612.5992,5,120.444,0.081984113,7.535,Low Fat,Drinks,Soft Drinks,3,Drinks
FDA01,5390.3168000000005,770.0452571428572,7,59.13325714285714,0.0596647622857142,15.0,Regular,Food,Canned,1,Food: Low Viz / Economy
FDA02,11847.2452,1692.4635999999998,7,144.16431428571428,0.0329193417142857,14.0,Regular,Food,Dairy,1,Food: Mass Market / High Rev
FDA03,13560.3486,2260.0581,6,145.3602,0.0515529634,18.5,Regular,Food,Dairy,1,Food: Mass Market / High Rev
FDA04,35741.4756,4467.68445,8,259.0087,0.06679212925,11.3,Regular,Food,Frozen Foods,1,Food: Mass Market / High Rev
FDA07,13475.792,1925.113142857143,7,122.93577142857144,0.0339311678571428,7.55,Regular,Food,Fruits and Vegetables,1,Food: Low Viz / Economy
FDA08,12662.8502,2110.4750333333336,6,164.03593333333333,0.0563698421666666,11.85,Regular,Food,Fruits and Vegetables,1,Food: Mass Market / High Rev
FDA09,15100.344,3020.0688,5,179.446,0.1497584494,13.35,Regular,Food,Snack Foods,1,Food: Mass Market / High Rev
FDA10,9188.04,1531.34,6,122.4072,0.1632463772,20.35,Low Fat,Food,Snack Foods,0,Food: Low Viz / Economy
FDA11,8319.836800000001,1663.96736,5,94.0836,0.0432986252,7.75,Low Fat,Food,Baking Goods,0,Food: Low Viz / Economy
FDA13,3908.9118,488.613975,8,38.2881,0.0860011705,15.85,Low Fat,Food,Canned,0,Food: Low Viz / Economy
FDA14,3954.852,1318.284,3,146.77599999999998,0.0815317386666666,16.1,Low Fat,Food,Dairy,0,Food: Mass Market / High Rev
FDA15,41584.5364,5198.06705,8,249.4967,0.017386784625,9.3,Low Fat,Food,Dairy,0,Food: Mass Market / High Rev
FDA16,17462.6024,4365.6506,4,221.2706,0.033931155,6.695,Low Fat,Food,Frozen Foods,0,Food: Mass Market / High Rev
FDA19,7067.467,1413.4933999999998,5,128.45940000000002,0.0644236155,7.52,Low Fat,Food,Fruits and Vegetables,0,Food: Low Viz / Economy
FDA20,21065.912,3510.985333333333,6,186.24066666666667,0.0666812758333333,6.78,Low Fat,Food,Fruits and Vegetables,0,Food: Mass Market / High Rev
FDA21,22951.4576,3825.242933333333,6,185.1424,0.0360004766666666,13.65,Low Fat,Food,Snack Foods,0,Food: Mass Market / High Rev
FDA22,11698.106,3899.3686666666663,3,167.1158,0.0844443785,7.435,Low Fat,Food,Starchy Foods,0,Food: Mass Market / High Rev
FDA23,11536.9824,1922.8304,6,101.36826666666668,0.0471976343333333,9.8,Low Fat,Food,Baking Goods,0,Food: Low Viz / Economy
FDA25,7430.327999999999,1486.0656,5,103.259,0.068283384,16.5,Regular,Food,Canned,1,Food: Low Viz / Economy
FDA26,16647.6632,3329.53264,5,218.8482,0.087688251,7.855,Regular,Food,Dairy,1,Food: Mass Market / High Rev
FDA27,15340.032,3068.0064,5,256.2472,0.03099906825,20.35,Regular,Food,Dairy,1,Food: Mass Market / High Rev
FDA28,12080.2752,2013.3792,6,126.1862,0.0532074266666666,16.1,Regular,Food,Frozen Foods,1,Food: Low Viz / Economy
FDA31,9347.832,2336.958,4,172.63299999999998,0.110329866,7.1,Low Fat,Food,Fruits and Vegetables,0,Food: Mass Market / High Rev
FDA32,17257.536,2465.362285714286,7,215.86205714285717,0.037278289,14.0,Low Fat,Food,Fruits and Vegetables,0,Food: Mass Market / High Rev
FDA33,12711.4536,2542.29072,5,147.2676,0.0339612568,6.48,Low Fat,Food,Snack Foods,0,Food: Mass Market / High Rev
FDA34,20080.528,4016.1056,5,173.348,0.0148772304,11.5,Low Fat,Food,Starchy Foods,0,Food: Mass Market / High Rev
FDA35,11638.184,2909.5460000000003,4,122.5322,0.05386944075,14.85,Regular,Food,Baking Goods,1,Food: Low Viz / Economy
FDA36,7958.9732,1989.7433,4,185.0424,0.006724899,5.985,Low Fat,Food,Baking Goods,0,Food: Mass Market / High Rev
FDA37,6474.2392,2158.079733333333,3,123.73793333333332,0.055298264,7.81,Regular,Food,Canned,1,Food: Low Viz / Economy
FDA38,7691.321599999999,1922.8304,4,240.0788,0.0302935035,5.44,Low Fat,Food,Dairy,0,Food: Mass Market / High Rev
FDA39,5303.097,662.887125,8,39.4822,0.0139523224285714,6.32,Low Fat,Food,Meat,0,Food: Low Viz / Economy
FDA40,4394.28,878.856,5,87.9256,0.0993941046,16.0,Regular,Food,Frozen Foods,1,Food: Low Viz / Economy
FDA43,12094.9228,2418.98456,5,195.1794,0.0734438434,10.895,Low Fat,Food,Fruits and Vegetables,0,Food: Mass Market / High Rev
FDA44,7526.869,940.858625,8,56.468,0.057754922,19.7,Low Fat,Food,Fruits and Vegetables,0,Food: Low Viz / Economy
FDA45,13938.523,2787.7046,5,177.317,0.1553870695999999,21.25,Low Fat,Food,Snack Foods,0,Food: Mass Market / High Rev
FDA46,22940.8048,3823.467466666667,6,194.74693333333332,0.1177016329999999,13.6,Low Fat,Food,Snack Foods,0,Food: Mass Market / High Rev
FDA47,17290.826,2881.804333333333,6,163.271,0.1167684238,10.5,Regular,Food,Baking Goods,1,Food: Mass Market / High Rev
FDA48,8646.7446,4323.3723,2,221.7114,0.114990544,12.1,Low Fat,Food,Baking Goods,0,Food: Mass Market / High Rev
FDA49,6279.8256,1046.6376,6,87.75313333333334,0.080299447,19.7,Low Fat,Food,Canned,0,Food: Low Viz / Economy
FDA50,9750.641,1218.830125,8,96.5035,0.102714250125,16.25,Low Fat,Food,Dairy,0,Food: Low Viz / Economy
FDA51,6375.7008000000005,2125.2336,3,112.5518,0.1643680936666667,8.05,Regular,Food,Dairy,1,Food: Low Viz / Economy
FDA52,14467.834,2893.5668,5,177.497,0.1283636909999999,16.2,Regular,Food,Frozen Foods,1,Food: Mass Market / High Rev
FDA55,13869.9456,3467.4864,4,224.2338,0.06766406675,17.2,Regular,Food,Fruits and Vegetables,1,Food: Mass Market / High Rev
FDA56,13768.0782,2753.61564,5,121.9614,0.0087611188,9.21,Low Fat,Food,Fruits and Vegetables,0,Food: Low Viz / Economy
FDA57,3036.048,1012.016,3,40.748,0.0395954113333333,18.85,Low Fat,Food,Snack Foods,0,Food: Low Viz / Economy
FDA58,6599.4096,2199.8032,3,235.52653333333333,0.1037159166666666,9.395,Low Fat,Food,Snack Foods,0,Food: Mass Market / High Rev
FDB02,18173.011,3634.6022,5,175.857,0.0291656648,9.695,Regular,Food,Canned,1,Food: Mass Market / High Rev
FDB03,18266.8888,3653.37776,5,240.7338,0.1569763326,17.75,Regular,Food,Dairy,1,Food: Mass Market / High Rev
FDB04,10546.272,1506.6102857142855,7,88.3856,0.070024864,11.35,Regular,Food,Dairy,1,Food: Low Viz / Economy
FDB05,12383.88,3095.97,4,246.6276,0.09874776,5.155,Low Fat,Food,Frozen Foods,0,Food: Mass Market / High Rev
FDB08,13638.913,2273.1521666666667,6,160.32446666666667,0.0311434314,6.055,Low Fat,Food,Fruits and Vegetables,0,Food: Mass Market / High Rev
FDB09,5229.1932,1045.83864,5,125.0446,0.0660779412,16.25,Low Fat,Food,Fruits and Vegetables,0,Food: Low Viz / Economy
FDB10,4254.462,2127.231,2,234.609,0.0673972565,10.0,Low Fat,Food,Snack Foods,0,Food: Mass Market / High Rev
FDB11,22278.9996,4455.79992,5,225.3404,0.0609480382,16.0,Low Fat,Food,Starchy Foods,0,Food: Mass Market / High Rev
FDB12,8724.6432,1744.92864,5,103.6848,0.1054046902,11.15,Regular,Food,Baking Goods,1,Food: Low Viz / Economy
FDB14,10532.956,1504.708,7,93.06914285714286,0.114278048,20.25,Regular,Food,Canned,1,Food: Low Viz / Economy
FDB15,27156.6504,3879.5214857142855,7,263.8139428571429,0.1501802481428571,10.895,Low Fat,Food,Dairy,0,Food: Mass Market / High Rev
FDB16,5756.5068,1151.30136,5,87.7398,0.044948799,8.21,Low Fat,Food,Dairy,0,Food: Low Viz / Economy
FDB17,25534.7616,3191.8452,8,180.6476,0.043219134,13.15,Low Fat,Food,Frozen Foods,0,Food: Mass Market / High Rev
FDB20,5842.395,1168.479,5,78.1386,0.0520661013999999,7.72,Low Fat,Food,Fruits and Vegetables,0,Food: Low Viz / Economy
FDB21,21510.0006,4302.00012,5,242.0254,0.1489501604999999,7.475,Low Fat,Food,Fruits and Vegetables,0,Food: Mass Market / High Rev
FDB22,11073.5856,2214.7171200000003,5,153.8998,0.1264259994,8.02,Low Fat,Food,Snack Foods,0,Food: Mass Market / High Rev
FDB23,21216.3828,3536.0638,6,225.57286666666667,0.0064323978,19.2,Regular,Food,Starchy Foods,1,Food: Mass Market / High Rev
FDB26,4420.912,884.1824,5,53.084,0.0312840848,14.0,Regular,Food,Canned,1,Food: Low Viz / Economy
FDB27,19904.7568,3317.4594666666667,6,196.9101333333333,0.0615970101666666,7.575,Low Fat,Food,Dairy,0,Food: Mass Market / High Rev
FDB28,7909.704000000001,1977.426,4,197.6176,0.10927600675,6.615,Low Fat,Food,Dairy,0,Food: Mass Market / High Rev
FDB29,9390.443200000002,1565.0738666666668,6,114.2176,0.0525190458333333,16.7,Regular,Food,Frozen Foods,1,Food: Low Viz / Economy
FDB32,9763.2912,1627.2152,6,94.1778,0.029040071,20.6,Low Fat,Food,Fruits and Vegetables,0,Food: Low Viz / Economy
FDB33,14480.4842,2896.09684,5,159.08620000000002,0.0167772034,17.75,Low Fat,Food,Fruits and Vegetables,0,Food: Mass Market / High Rev
